,Email,Handwritten,Invoice,ID Card,Passeport,Scientific publication
MobileNetV2,0.9871244635193133,0.9595141700404858,0.9696969696969697,1.0,0.9933333333333333,0.9844961240310077
ResNet50,0.975,0.991701244813278,0.977961432506887,1.0,1.0,0.9922178988326849
EfficientNetB1,0.9913793103448276,0.9717741935483871,0.9831460674157303,1.0,0.9802631578947368,0.9773584905660377
CNN,0.9695652173913043,0.9543568464730291,0.9251336898395722,0.9901315789473685,0.9866220735785953,0.953125
SqueezeNet,0.96,0.9330543933054394,0.8909090909090909,0.9836601307189542,0.9865319865319865,0.9603174603174603
